Abeillia abeillei_Keolibřík smaragdovohrdlý
Abroscopus albogularis_Beudníček rezavolící
Abroscopus schisticeps_Black-faced Warbler
Abroscopus superciliaris_Beudníček šedokorunkatý
Aburria aburri_guan aburri
Acanthagenys rufogularis_Meedosavka modrooká
Acanthidops bairdi_Peěnkavka Bairdova
Acanthis cabaret_čečetka tmavá
Acanthis flammea_čečetka zimní
Acanthis hornemanni_čečetka bělavá
Acanthisitta chloris_Peokřovník zelený
Acanthiza apicalis_Setřízlíkovec australský
Acanthiza chrysorrhoa_Setřízlíkovec žlutokostřecový
Acanthiza ewingii_Setřízlíkovec jižní
Acanthiza inornata_Setřízlíkovec západoaustralský
Acanthiza lineata_Setřízlíkovec blahovičníkový
Acanthiza nana_Setřízlíkovec žlutý
Acanthiza pusilla_Setřízlíkovec rudooký
Acanthiza reguloides_Setřízlíkovec východoaustralský
Acanthiza robustirostris_Setřízlíkovec šedohřbetý
Acanthiza uropygialis_Setřízlíkovec světlebřichý
Acanthorhynchus superciliosus_Jeehlozobka západní
Acanthorhynchus tenuirostris_Jeehlozobka východní
Accipiter badius_krahujec šikra
Accipiter bicolor_jestřáb neotropický
Accipiter cirrocephalus_krahujec rudolímcový
Accipiter cooperii_jestřáb americký
Accipiter erythronemius_Jeestřáb rudorousý
Accipiter fasciatus_jestřáb australský
Accipiter gentilis_jestřáb lesní
Accipiter gularis_krahujec menší
Accipiter hiogaster_jestřáb rezavobřichý
Accipiter melanoleucus_jestřáb černohřbetý
Accipiter minullus_krahujec nejmenší
Accipiter nisus_krahujec obecný
Accipiter novaehollandiae_jestřáb proměnlivý
Accipiter poliogaster_jestřáb jihoamerický
Accipiter soloensis_krahujec čínský
Accipiter striatus_krahujec americký
Accipiter superciliosus_Kerahujec malý
Accipiter tachiro_jestřáb tachiro
Accipiter trinotatus_krahujec pralesní
Accipiter trivirgatus_krahulák chocholatý
Accipiter ventralis_Kerahujec kolumbijský
Accipiter virgatus_krahujec besra
Aceros nipalensis_zoborožec rezavý
Achaetops pycnopygius_Rockrunner
Acridotheres burmannicus_majna barmská
Acridotheres cristatellus_majna chocholatá
Acridotheres fuscus_majna hnědá
Acridotheres ginginianus_majna břehová
Acridotheres grandis_Meajna velká
Acridotheres javanicus_majna jávská
Acridotheres tristis_majna obecná
Acris crepitans_Northern Cricket Frog
Acris gryllus_Southern Cricket Frog
Acrobatornis fonsecai_Pink-legged Graveteiro
Acrocephalus agricola_rákosník plavý
Acrocephalus arundinaceus_rákosník velký
Acrocephalus australis_Reákosník australský
Acrocephalus baeticatus_Reákosník africký
Acrocephalus bistrigiceps_rákosník černobrvý
Acrocephalus concinens_Blunt-winged Warbler
Acrocephalus dumetorum_rákosník pokřovní
Acrocephalus gracilirostris_Reákosník jižní
Acrocephalus griseldis_rákosník irácký
Acrocephalus kerearako_Reákosník mitiaroský
Acrocephalus melanopogon_rákosník tamaryškový
Acrocephalus newtoni_Reákosník madagaskarský
Acrocephalus orientalis_rákosník východní
Acrocephalus paludicola_rákosník ostřicový
Acrocephalus palustris_rákosník zpěvný
Acrocephalus rufescens_Reákosník větší
Acrocephalus schoenobaenus_rákosník proužkovaný
Acrocephalus scirpaceus_rákosník obecný
