Abeillia abeillei_Viherleukakolibri
Abroscopus albogularis_Pikkulehväkerttu
Abroscopus schisticeps_Naamiolehväkerttu
Abroscopus superciliaris_Bambulehväkerttu
Aburria aburri_Helttasaku
Acanthagenys rufogularis_Mustapyrstömesikko
Acanthidops bairdi_Kiilanokkasirkku
Acanthis cabaret_ruskourpiainen
Acanthis flammea_urpiainen
Acanthis hornemanni_tundraurpiainen
Acanthisitta chloris_Metsävilistäjä
Acanthiza apicalis_Vipeväotsamaluri
Acanthiza chrysorrhoa_Keltaperämaluri
Acanthiza ewingii_Tasmaniantiaismaluri
Acanthiza inornata_Matkijatiaismaluri
Acanthiza lineata_Ruskopäämaluri
Acanthiza nana_Keltavatsamaluri
Acanthiza pusilla_Kaneliperämaluri
Acanthiza reguloides_Ruso-otsamaluri
Acanthiza robustirostris_Valkovatsamaluri
Acanthiza uropygialis_Pähkinäperämaluri
Acanthorhynchus superciliosus_Vyömesikko
Acanthorhynchus tenuirostris_Naskalivyömesikko
Accipiter badius_arovarpushaukka
Accipiter bicolor_Ruostehousuhaukka
Accipiter cirrocephalus_Ruosteniskahaukka
Accipiter cooperii_kyyhkyhaukka
Accipiter erythronemius_Rfous-thighed Hawk
Accipiter fasciatus_australiankanahaukka
Accipiter gentilis_kanahaukka
Accipiter gularis_idänvarpushaukka
Accipiter hiogaster_punakanahaukka
Accipiter melanoleucus_Mustakanahaukka
Accipiter minullus_afrikanvarpushaukka
Accipiter nisus_varpushaukka
Accipiter novaehollandiae_vaaleakanahaukka
Accipiter poliogaster_amazoniankanahaukka
Accipiter soloensis_sammakkohaukka
Accipiter striatus_amerikanvarpushaukka
Accipiter superciliosus_Kolibrihaukka
Accipiter tachiro_afrikanlintuhaukka
Accipiter trinotatus_liskovarpushaukka
Accipiter trivirgatus_töyhtölintuhaukka
Accipiter ventralis_Pain-breasted Hawk
Accipiter virgatus_ruostevarpushaukka
Aceros nipalensis_Kiilasarvinokka
Achaetops pycnopygius_Louhikkokerttu
Acridotheres burmannicus_Vinous-breasted Starling (Burmese)
Acridotheres cristatellus_Riisimaina
Acridotheres fuscus_Viidakkomaina
Acridotheres ginginianus_Intianmaina
Acridotheres grandis_Töyhtömaina
Acridotheres javanicus_Jaavanmaina
Acridotheres tristis_Pihamaina
Acris crepitans_Northern Cricket Frog
Acris gryllus_Southern Cricket Frog
Acrobatornis fonsecai_Punajalkaorneero
Acrocephalus agricola_kenttäkerttunen
Acrocephalus arundinaceus_rastaskerttunen
Acrocephalus australis_Australianrastaskerttunen
Acrocephalus baeticatus_Afrikanrytikerttunen
Acrocephalus bistrigiceps_Mustakulmakerttunen
Acrocephalus concinens_Idänkenttäkerttunen
Acrocephalus dumetorum_viitakerttunen
Acrocephalus gracilirostris_Afrikanruokokerttunen
Acrocephalus griseldis_Basrankerttunen
Acrocephalus kerearako_Cookinkerttunen
Acrocephalus melanopogon_Osmankäämikerttunen
Acrocephalus newtoni_Madagaskarinrastaskerttunen
